Time,Ch,ID,Coarse,Fine,CoarseDiff,Delta_ps,RawHex
20:49:22.812,DOWN,73,43,2226,19,73418.25,0x5251642B
20:49:22.812,UP,74,190,3289,,,0x1299B3BE
20:49:22.812,DOWN,74,209,2576,19,73411.68,0x529420D1
20:49:22.812,UP,75,100,3733,,,0x12DD2B64
20:49:22.813,DOWN,75,119,2985,19,73428.11,0x52D75277
20:49:22.813,UP,76,9,211,,,0x1301A709
20:49:22.813,DOWN,76,29,3337,20,75455.42,0x531A121D
20:49:22.813,UP,77,175,587,,,0x134497AF
20:49:22.813,DOWN,77,195,3685,20,75468.56,0x535CCAC3
20:49:22.813,UP,78,85,974,,,0x13879D55
20:49:22.813,DOWN,78,104,244,19,73419.66,0x5381E868
20:49:22.813,UP,79,251,1401,,,0x13CAF3FB
20:49:22.813,DOWN,79,14,691,19,73410.27,0x53C5660E
20:49:22.813,UP,80,161,1814,,,0x140E2DA1
20:49:22.813,DOWN,80,180,1080,19,73421.54,0x540870B4
20:49:22.813,UP,81,71,2103,,,0x14506F47
20:49:22.813,DOWN,81,90,1359,19,73426.23,0x544A9E5A
20:49:22.813,UP,82,237,2539,,,0x1493D7ED
20:49:22.813,DOWN,82,0,1827,19,73411.21,0x548E4600
20:49:22.813,UP,83,147,2939,,,0x14D6F793
20:49:22.813,DOWN,83,166,2204,19,73422.01,0x54D138A6
20:49:22.813,UP,84,57,3252,,,0x15196939
20:49:22.813,DOWN,84,76,2519,19,73421.07,0x5513AE4C
20:49:22.813,UP,85,223,3697,,,0x155CE3DF
20:49:22.813,DOWN,85,242,2957,19,73424.35,0x55571AF2
20:49:22.813,UP,86,132,223,,,0x1581BF84
20:49:22.813,DOWN,86,152,3362,20,75449.31,0x559A4498
20:49:22.813,UP,87,42,625,,,0x15C4E32A
20:49:22.813,DOWN,87,62,3744,20,75458.70,0x55DD403E
20:49:22.813,UP,88,208,996,,,0x1607C9D0
20:49:22.813,DOWN,88,227,277,19,73414.49,0x56022AE3
20:49:22.813,UP,89,118,1346,,,0x164A8576
20:49:22.813,DOWN,89,137,666,19,73396.18,0x56453489
20:49:22.813,UP,90,28,1775,,,0x168DDF1C
20:49:22.813,DOWN,90,47,1043,19,73420.60,0x5688262F
20:49:22.813,UP,91,194,2200,,,0x16D131C2
20:49:22.813,DOWN,91,213,1464,19,73422.48,0x56CB70D5
20:49:22.813,UP,92,104,2539,,,0x1713D768
20:49:22.813,DOWN,92,123,1813,19,73417.78,0x570E2A7B
20:49:22.813,UP,93,14,2907,,,0x1756B70E
20:49:22.813,DOWN,93,33,2171,19,73422.48,0x5750F621
20:49:22.813,UP,94,180,3315,,,0x1799E7B4
20:49:22.813,DOWN,94,199,2576,19,73423.88,0x579420C7
20:49:22.814,UP,95,90,3687,,,0x17DCCF5A
20:49:22.814,DOWN,95,109,2957,19,73419.66,0x57D71A6D
20:49:22.814,UP,96,255,257,,,0x180203FF
20:49:22.814,DOWN,96,19,3383,20,75455.42,0x581A6E13
20:49:22.814,UP,97,165,569,,,0x184473A5
20:49:22.814,DOWN,97,185,3706,20,75450.25,0x585CF4B9
20:49:22.814,UP,98,75,940,,,0x1887594B
20:49:22.814,DOWN,98,94,196,19,73426.23,0x5881885E
20:49:22.814,UP,99,241,1367,,,0x18CAAFF1
20:49:22.814,DOWN,99,4,638,19,73419.19,0x58C4FC04
